Filter_1,Filter_1_1,Filter_1_2,Year,Batch,Number,Individual_Total,Individual_Treat,Phase,Species,Treatment,Treatment_Name,Resting_seconds,Active_seconds,vid_length,Resting_prop,Active_prop,Resting_entries,Active_entries,Resting_first_entry_time,Active_first_entry_time,Active_per_period,Diff_Activity,Change_Activity
1,1,0,21,1,2338,72,3,3,RT,BFT,Treat(Fresh)Post,300,0,300,1,0,1,0,0,NA,0,-29.691,-1
1,1,0,21,1,2339,73,4,1,RT,BFT,Treat(Fresh)Pre,277.617,22.383,300,0.925,0.075,11,10,0,26.621,2.2383,NA,NA
1,1,0,21,1,2340,73,4,2,RT,BFT,Treat(Fresh)Stim,300,0,300,1,0,1,0,0,NA,0,-22.383,-1
1,1,0,21,1,2341,73,4,3,RT,BFT,Treat(Fresh)Post,300,0,300,1,0,1,0,0,NA,0,-22.383,-1
1,1,0,21,1,2342,74,5,1,RT,BFT,Treat(Fresh)Pre,276.417,23.583,300,0.921,0.079,17,17,1.06,0,1.387235,NA,NA
1,1,0,21,1,2343,74,5,2,RT,BFT,Treat(Fresh)Stim,284.872,15.128,300,0.949573,0.050427,10,9,0,62.406,1.680889,-8.455,-0.358521
1,1,0,21,1,2344,74,5,3,RT,BFT,Treat(Fresh)Post,300,0,300,1,0,1,0,0,NA,0,-23.583,-1
1,1,0,21,1,2345,75,6,1,RT,BFT,Treat(Fresh)Pre,245.918,54.082,300,0.82,0.18,38,37,0,19.62,1.461676,NA,NA
1,1,0,21,1,2346,75,6,2,RT,BFT,Treat(Fresh)Stim,265.562,34.438,300,0.885207,0.114793,25,24,0,3.56,1.434917,-19.644,-0.363226
1,1,0,21,1,2347,75,6,3,RT,BFT,Treat(Fresh)Post,300,0,300,1,0,1,0,0,NA,0,-54.082,-1
1,1,0,21,1,2348,76,7,1,RT,BFT,Treat(Fresh)Pre,265.939,34.061,300,0.886,0.114,22,21,0,25.721,1.621952,NA,NA
